Artist,Name,Year ,Popularity,genre,lyrics
Frank Sinatra,L.o.v.e. Lyrics,2007,100,"""tag"",""Jazz"").setTargeting(""cid"",""4464"").setTargeting(""artist"",""franksinatra"");var ftag=false,ftagHash=false,ftagSession=localStorage.getItem('ftagSession')||false;if(window.location.hash.indexOf('ftag=')!=-1){ftagHash=window.location.hash.substring(window.location.hash.indexOf('ftag=')+5);}if(ftag!=false){localStorage.setItem('ftagSession',ftag)","L is for the way you look at me
O is for the only one I see
V is very, very extraordinary
E is even more than anyone that you adore can,Love is all that I can give to you
Love is more than just a game for two
Two in love can make it
Take my heart and please don't break it
Love was made for me and you,L is for the way you look at me
O is for the only one I see
V is very, very extraordinary
E is even more than anyone that you adore can,Love is all that I can give to you
Love is more than just a game for two
Two in love can make it
Take my heart and please don't break it
Love was made for me and you
Love was made for me and you
Love was made for me and you
Love was made for me and you"
Frank Sinatra,"New York, New York Lyrics",1991,90.91884555,"""tag"",""Jazz"").setTargeting(""cid"",""4464"").setTargeting(""artist"",""franksinatra"");var ftag=false,ftagHash=false,ftagSession=localStorage.getItem('ftagSession')||false;if(window.location.hash.indexOf('ftag=')!=-1){ftagHash=window.location.hash.substring(window.location.hash.indexOf('ftag=')+5);}if(ftag!=false){localStorage.setItem('ftagSession',ftag)","Start spreading the news
I am leaving today
I want to be a part of it
New York, New York,These vagabond shoes
Are longing to stray
Right through the very heart of it
New York, New York,I wanna wake up, in a city
That doesn't sleep
And find I'm king of the hill
Top of the heap,This little town blues
Are melting away
I'll make a brand new start of it
In old New York,If I can make it there
I'll make it anywhere
It's up to you
New York, New York,New York, New York
I want to wake up in that city
That never sleeps
And find I'm hey number one
Top of the list
King of the hill
Hey number one,These are little town blues
They have all melted away
I'm gonna make a brand new start of it
In old New York
And I
If I can make it there
I'm gonna make it anywhere
It's up to you
New York, New York, New York"
Frank Sinatra,Fly Me To The Moon Lyrics,1991,90.75510986,"""tag"",""Jazz"").setTargeting(""cid"",""4464"").setTargeting(""artist"",""franksinatra"");var ftag=false,ftagHash=false,ftagSession=localStorage.getItem('ftagSession')||false;if(window.location.hash.indexOf('ftag=')!=-1){ftagHash=window.location.hash.substring(window.location.hash.indexOf('ftag=')+5);}if(ftag!=false){localStorage.setItem('ftagSession',ftag)",
Frank Sinatra,My Way Lyrics,1974,89.21714784,"""tag"",""Jazz"").setTargeting(""cid"",""4464"").setTargeting(""artist"",""franksinatra"");var ftag=false,ftagHash=false,ftagSession=localStorage.getItem('ftagSession')||false;if(window.location.hash.indexOf('ftag=')!=-1){ftagHash=window.location.hash.substring(window.location.hash.indexOf('ftag=')+5);}if(ftag!=false){localStorage.setItem('ftagSession',ftag)","And now the end is near
And so I face the final curtain
My friend, I'll say it clear
I'll state my case of which I'm certain,I've lived a life that's full
I've travelled each and every highway
and more, much more than this
I did it my way,Regrets I've had a few
But then again too few to mention
I did what I had to do
And saw it through without exemption,I planned each chartered course
Each careful step along the by-way
And more, much more than this
I did it my way,Yes, there were times
I'm sure you knew
When I bit off more than I could chew
But through it all when there was doubt
I ate it up and spit it out
I faced it all,And I stood tall
And did it my way
I've loved, I've laughed, and cried
I've had my fill, my share of losing,And now, as tears subside
I find it all so amusing
To think I did all that
And may I say, not in a shy way,""Oh no, oh no, not me
I did it my way""
For what is a man, what has he got?
If not himself then he has naught
To say the things he truly feels
And not the words of one who kneels
The record shows I took the blows
And did it my way
Yes, it was my way"
Frank Sinatra,High Hopes Lyrics,2006,86.17296979,"""tag"",""Jazz"").setTargeting(""cid"",""4464"").setTargeting(""artist"",""franksinatra"");var ftag=false,ftagHash=false,ftagSession=localStorage.getItem('ftagSession')||false;if(window.location.hash.indexOf('ftag=')!=-1){ftagHash=window.location.hash.substring(window.location.hash.indexOf('ftag=')+5);}if(ftag!=false){localStorage.setItem('ftagSession',ftag)","Next time you're found
With your chin on the ground
There a lot to be learned
So look around,Just what makes that little old ant
Think he'll move that rubber tree plant
Anyone knows an ant, can't
Move a rubber tree plant,But he's got high hopes
He's got high hopes
He's got high apple pie
In the sky hopes,So any time you're gettin' low
'Stead of lettin' go, just remember that ant
Oops, there goes another rubber tree plant
Oops, there goes another rubber tree plant
Oops, there goes another rubber tree plant,When troubles call
And your back's to the wall
There a lot to be learned
That wall could fall,Once there was a silly old ram
Thought he'd punch a hole in a dam
No one could make that ram, scram
He kept buttin' that dam,'Cause he had high hopes
He had high hopes
He had high apple pie
In the sky hopes,So any time you're feelin' bad
'Stead of feelin' sad, just remember that ram
Oops, there goes a billion kilowatt dam
Oops, there goes a billion kilowatt dam
Oops, there goes a billion kilowatt dam,All problems just a toy balloon
They'll be bursted soon, they're just bound to go pop
Oops, there goes another problem kerplop
Oops, there goes another problem kerplop
Oops, there goes another problem kerplop, kerplop"
Frank Sinatra,Beyond The Sea Lyrics,2009,82.9147403,"""tag"",""Jazz"").setTargeting(""cid"",""4464"").setTargeting(""artist"",""franksinatra"");var ftag=false,ftagHash=false,ftagSession=localStorage.getItem('ftagSession')||false;if(window.location.hash.indexOf('ftag=')!=-1){ftagHash=window.location.hash.substring(window.location.hash.indexOf('ftag=')+5);}if(ftag!=false){localStorage.setItem('ftagSession',ftag)","Somewhere beyond the sea
Somewhere waitin' for me
My lover stands on golden sand
And watches the ships that go sailin',Somewhere beyond the sea
She's there watchin' for me
If I could fly like birds on high
Then straight to her arms I'd go sailin',It's far beyond the star
It's near beyond the moon
I know beyond a doubt
My heart will lead me there soon,We'll meet beyond the shore
We'll kiss just as before
Happy we'll be, beyond the sea
And never again I'll go sailin',I know beyond a doubt,
My heart will lead me there soon
We'll meet, I know we'll meet
Beyond the shore
We'll kiss just as before
Happy we'll be, beyond the sea
And never again I'll go sailin',(No more sailin')
(So long sailin')
(Byebye sailin')"
Frank Sinatra,Something Stupid Lyrics,2006,78.02615998,"""tag"",""Jazz"").setTargeting(""cid"",""4464"").setTargeting(""artist"",""franksinatra"");var ftag=false,ftagHash=false,ftagSession=localStorage.getItem('ftagSession')||false;if(window.location.hash.indexOf('ftag=')!=-1){ftagHash=window.location.hash.substring(window.location.hash.indexOf('ftag=')+5);}if(ftag!=false){localStorage.setItem('ftagSession',ftag)","I know I stand in line,
until you think you have the time
to spend an evening with me.
And if we go some place to dance,
I know that there's a chance
you won't be leaving with me.
And afterwards we drop into a quiet little place
and have a drink or two.
And then I go and spoil it all,
by saying something stupid
like: ""I love you.""
I can see it in your eyes,
that you despise the same old lies
you heard the night before.,And though it's just a line to you,
for me it's true,
it never seemed so right before.
I practice every day to find some clever lines to say,
to make the meaning come true.
But then I think I'll wait
until the evening gets late,
and I'm alone with you.
The time is right, your perfume fills my head,
the stars get red,
and oh, the night's so blue.
And then I go and spoil it all,
by saying something stupid
like: ""I love you.""
The time is right, your perfume fills my head,
the stars get red,
and oh, the night's so blue.
And then I go and spoil it all,
by saying something stupid
like: ""I love you.""
""i love you""
""i love you""
""i love you"""
Frank Sinatra,I Love You Lyrics,2006,77.22597016,"""tag"",""Jazz"").setTargeting(""cid"",""4464"").setTargeting(""artist"",""franksinatra"");var ftag=false,ftagHash=false,ftagSession=localStorage.getItem('ftagSession')||false;if(window.location.hash.indexOf('ftag=')!=-1){ftagHash=window.location.hash.substring(window.location.hash.indexOf('ftag=')+5);}if(ftag!=false){localStorage.setItem('ftagSession',ftag)","You're just too good to be true
I can't take my eyes off of you
You'd be like heaven to touch
I wanna hold you so much
At long last love has arrived
and I thank God I'm alive
You're just too good to be true
can't take my eyes off of you
Pardon the way that I stare,
there's nothing else to compare
The sight of you leaves me weak
there are no words left to speak
But if you feel like I feel,
please let me know that it's real
You're just too good to be true,
can't take my eyes off of you
I love you baby and if it's quite all right,
I need you baby to warm the lonely nights
I love you baby trust in me when I say
Oh pretty baby don't bring me down I pray
Oh pretty baby now that I found you, stay
And let me love you baby, let me love you
You're just too good to be true
can't take my eyes off of you
You'd be like heaven to touch
I wanna hold you so much
At long last love has arrived
and I thank God I'm alive
You're just too good to be true
can't take my eyes off of you
I love you baby and if it's quite all right,
I need you baby to warm the lonely night
I love you baby trust in me when I say
Oh pretty baby don't bring me down I pray
Oh pretty baby now that I found you, stay
And let me love you baby, let me love you"
Frank Sinatra,The Way You Look Tonight Lyrics,1991,75.18038104,"""tag"",""Jazz"").setTargeting(""cid"",""4464"").setTargeting(""artist"",""franksinatra"");var ftag=false,ftagHash=false,ftagSession=localStorage.getItem('ftagSession')||false;if(window.location.hash.indexOf('ftag=')!=-1){ftagHash=window.location.hash.substring(window.location.hash.indexOf('ftag=')+5);}if(ftag!=false){localStorage.setItem('ftagSession',ftag)","Some day, when I'm awfully low
When the world is cold
I will feel a glow just thinking of you
And the way you look tonight,Yes, you're lovely, with your smile so warm
And your cheeks so soft
There is nothing for me but to love you
And the way you look tonight,With each word your tenderness grows
Tearin' my fear apart
And that laugh.wrinkles your nose
Touches my foolish heart,Lovely ... Never, never change
Keep that breathless charm
Won't you please arrange it? 'cause I love you
Just the way you look tonight,And that laugh that wrinkles your nose
It touches my foolish heart,Lovely ... Don't you ever change
Keep that breathless charm
Won't you please arrange it? 'cause I love you
a-just the way you look tonight,Mm, Mm Mm, Mm,
Just the way you look tonight"
Frank Sinatra,September Song Lyrics,2010,70.16604524,"""tag"",""Jazz"").setTargeting(""cid"",""4464"").setTargeting(""artist"",""franksinatra"");var ftag=false,ftagHash=false,ftagSession=localStorage.getItem('ftagSession')||false;if(window.location.hash.indexOf('ftag=')!=-1){ftagHash=window.location.hash.substring(window.location.hash.indexOf('ftag=')+5);}if(ftag!=false){localStorage.setItem('ftagSession',ftag)","Oh, it's a long, long while from May to December
But the days grow short when you reach September
And the autumn weather turns the leaves to flame
And I haven't got time for the waiting game,And the days dwindle down to a precious few
September, November
And these few precious days, I'll spend with you
These precious days, I'll spend with you,And the days dwindle down to a precious few
September, November
And these few precious days, I'll spend with you
These precious days, I'll spend with you"
